Scheme Name	Net Asset Value
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3959
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.4902
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.7193
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.7611
BANDHAN Corporate Bond Fund - Regular Growth	19.7212
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.0338
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.6484
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	13.2947
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.7506
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.8069
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	32.8003
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.4884
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.5420
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	12.0730
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	30.1196
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.6754
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.7738
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.7305
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	28.3391
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.5310
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.5536
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.8560
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.7031
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	22.2065
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.8425
DSP Corporate Bond Fund - Direct - Growth	16.708
DSP Corporate Bond Fund - Direct - IDCW	11.8151
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.6253
DSP Corporate Bond Fund - Direct - IDCW - Quarterly	11.4527
DSP Corporate Bond Fund - Regular - Growth	16.4047
DSP Corporate Bond Fund - Regular - IDCW	11.7726
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.6
DSP Corporate Bond Fund - Regular - IDCW - Quarterly	10.7964
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	111.1863
Franklin India Corporate Debt Fund - Growth	102.4378
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	17.4873
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.6803
